Site,Date_collected,Date_processed,Site,Cobble_SID,Pool_or_Riffle,Volume_mL,Volume_Added,TIN_num,Dry_Weight_g,AFD_Weight_g,Difference, Notes,,
Porter_Above,5/18/18,5/23/18,Frog_Legs_18.1,14,pool,34,0,51,1.1673,1.1655,0.0018,,,
Porter_Above,5/18/18,5/23/18,Frog_Legs_18.1,11,riffle,27,0,52,1.1698,1.1683,0.0015,,,
Porter_Above,5/18/18,5/23/18,Frog_Legs_18.1,12,pool,45.5,3,53,1.1692,1.1640,0.0052,,,
Porter_Above,5/18/18,5/23/18,Golf_Ball_18.3,10,pool,19,0,54,1.1813,1.1803,0.0010,,,
Porter_Above,5/18/18,5/23/18,Waterfall_18.4,8,pool,16,0,55,1.1309,1.1283,0.0026,,,
Porter_Above,5/18/18,5/23/18,Waterfall_18.4,9,pool,25,0,56,1.1554,1.1532,0.0022,,,
Porter_Above,5/18/18,5/23/18,Waterfall_18.4,5,riffle,37.5,0,57,1.1433,1.1406,0.0027,,,
Porter_Above,5/18/18,5/23/18,Frog_Legs_18.1,6,riffle,38,0,58,1.1498,1.1468,0.0030,,,
Porter_Above,5/18/18,5/23/18,Golf_Ball_18.3,7,riffle,25.5,0,59,1.1459,1.1439,0.0020,,,
Porter_Above,5/18/18,5/23/18,Golf_Ball_18.3,4,riffle,18.5,0,60,1.1616,1.1603,0.0013,,,
Porter_Above,5/18/18,5/23/18,Golf_Ball_18.3,15,pool,44.5,0,61,1.1482,1.1449,0.0033,,,
Porter_Above,5/18/18,5/23/18,Jesus_Toast_18.2,3,riffle,25,0,62,1.1682,1.1664,0.0018,,,
Porter_Above,5/18/18,5/23/18,Waterfall_18.4,1,riffle,48.5,0,63,1.1561,1.1541,0.0020,,,
Porter_Above,5/18/18,5/23/18,Jesus_Toast_18.2,16,pool,25,0,64,1.1875,1.1843,0.0032,in oven at 5:45 PM,,
Porter_Above,6/13/18,6/14/18,Jesus_Toast_18.2,16,pool,49,0,4,1.1432,1.1415,0.0017,,,
Porter_Above,6/13/18,6/14/18,Frog_Legs_18.1,1,riffle,37,0,6,1.1290,1.1277,0.0013,,,
Porter_Above,6/13/18,6/14/18,Waterfall_18.4,10,pool,25,0,13,1.1537,1.1488,0.0049,,,
Porter_Above,6/13/18,6/14/18,Frog_Legs_18.1,5,riffle,54,-6,10,1.1490,1.1479,0.0011,,,
Porter_Above,6/13/18,6/14/18,Waterfall_18.4,12,pool,20,0,12,1.1405,,1.1405,MELTED IN OVEN REDO,,
Porter_Above,6/13/18,6/14/18,Golf_Ball_18.3,3,riffle,55,-9,8,1.1465,1.143,0.0035,,,
Porter_Above,6/13/18,6/14/18,Waterfall_18.4,6,riffle,24,0,3,1.1469,,1.1469,MELTED IN OVEN REDO,,
Porter_Above,6/13/18,6/14/18,Jesus_Toast_18.2,13,riffle,57,-9,9,1.1611,1.1603,0.0008,,,
Porter_Above,6/13/18,6/14/18,Jesus_Toast_18.2,9,riffle,53,-6,5,1.1550,,1.1550,MELTED IN OVEN REDO,,
Porter_Above,6/13/18,6/14/18,Jesus_Toast_18.2,15,pool,47,0,2,1.1659,,1.1659,MELTED IN OVEN REDO,,
Porter_Above,6/13/18,6/14/18,Golf_Ball_18.3,2,riffle,16,0,7,1.1692,1.1656,0.0036,,,
Porter_Above,6/13/18,6/14/18,Golf_Ball_18.3,11,pool,20,0,11,1.1233,,1.1233,MELTED IN OVEN REDO,,
