Site,Date_collected,Date_processed,Site,Cobble#_SID,Pool/Riffle,Volume (mL),Volume Added,Canister_#,Chla_reading,Total_Chla_extracted,Total_Chla_in_Sample,Chla_area,Cobble Area,Notes
Porter_Above,5/1/18,5/2/18,Frog_Legs_18.1,7,pool,26,0,21,94.54,0.9454,2.45804,#DIV/0!,,
Porter_Above,5/1/18,5/2/18,Frog_Legs_18.1,11,pool,23,0,26,61.29,0.6129,1.40967,#DIV/0!,,
Porter_Above,5/1/18,5/2/18,Jesus_Toast_18.2,8,riffle,36.5,0,22,197.86,1.9786,7.22189,#DIV/0!,,
Porter_Above,5/1/18,5/2/18,Jesus_Toast_18.2,9,riffle,44,0,25,398.97,3.9897,17.55468,#DIV/0!,,poured some out
Porter_Above,5/1/18,5/2/18,Jesus_Toast_18.2,15,pool,29.5,0,28,186.24,1.8624,5.49408,#DIV/0!,,
Porter_Above,5/1/18,5/2/18,Jesus_Toast_18.2,16,pool,28.5,0,19,162.42,1.6242,4.62897,#DIV/0!,,
Porter_Above,5/1/18,5/2/18,Golf_Ball_18.3,4,riffle,65,0,18,273.66,2.7366,17.7879,#DIV/0!,,"both vials emptied and redistributed evenly between the two bottles. Bottle #1 51mL, bottle #2 14mL initially. Each bottle now has roughly 32.5"
Porter_Above,5/1/18,5/2/18,Golf_Ball_18.3,6,riffle,43,0,32,188.51,1.8851,8.10593,#DIV/0!,,
Porter_Above,5/1/18,5/2/18,Golf_Ball_18.3,13,pool,25,0,30,64.74,0.6474,1.6185,#DIV/0!,,
Porter_Above,5/1/18,5/2/18,Golf_Ball_18.3,14,pool,27,0,16,206.09,2.0609,5.56443,#DIV/0!,,"callibrated before sample read: 12:50pm, H=78.16, L=11.72"
Porter_Above,5/1/18,5/2/18,Waterfall_18.4,2,riffle,27,0,23,147.91,1.4791,3.99357,#DIV/0!,,
Porter_Above,5/1/18,5/2/18,Waterfall_18.4,3,riffle,38.5,0,17,183.08,1.8308,7.04858,#DIV/0!,,
Porter_Above,5/1/18,5/2/18,Waterfall_18.4,10,pool,22,0,29,92.95,0.9295,2.0449,#DIV/0!,,
Porter_Above,5/1/18,5/2/18,Waterfall_18.4,12,pool,47,0,27,318.45,3.1845,14.96715,#DIV/0!,,
Elder_Below,5/20/18,5/23/18,Oak_Terrace_18.2,11,pool,31,0,36,171.88,1.7188,5.32828,#DIV/0!,,Calibration 1: H 77.68 (time 3:00 PM)
